locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,snapshot_date,period,occupancy_rate,usage_count,year,period_end,months_observed,is_partial_year,installed_year_conflict,data_quality_status,occupancy_rate_pct,monthly_avg_usage
STAT_835a682c24e1,마포구,상암동주민센터후문,매봉산로2길 16,운영,,,19,2026-06-30,2021,,229.0,2021,2021-12-31,12,False,False,ok,,19.083333333333332
STAT_0bd5f0eb3d10,마포구,신수동주민센터,독막로 192,운영,2017,,19,2026-06-30,2021,,2593.0,2021,2021-12-31,12,False,False,ok,,216.08333333333334
STAT_deffabebbf77,마포구,성산2동주민센터,월드컵북로30길 22,운영,2016,,19,2026-06-30,2021,,2948.0,2021,2021-12-31,12,False,False,ok,,245.66666666666666
STAT_05cc498bda2e,마포구,연남동희망원룸주택,성미산로17길 79,운영,2015,,19,2026-06-30,2021,,1966.0,2021,2021-12-31,12,False,False,ok,,163.83333333333334
STAT_5c94fea8d4e9,마포구,상암동 제1공영주차장,성암로 197,운영,2014,,19,2026-06-30,2021,,2598.0,2021,2021-12-31,12,False,False,ok,,216.5
STAT_9d348c728bd6,마포구,마포아트센터,대흥로20길 28,운영,2014,,19,2026-06-30,2021,,2769.0,2021,2021-12-31,12,False,False,ok,,230.75
STAT_fac888c0d055,마포구,연남동 주민커뮤니티센터,동교로41길 36,운영,2013,,26,2026-06-30,2021,,3604.0,2021,2021-12-31,12,False,False,ok,,300.3333333333333
STAT_6d6e701f1594,마포구,도화동 주민센터,도화길 37,운영,2013,,26,2026-06-30,2021,,4511.0,2021,2021-12-31,12,False,False,ok,,375.9166666666667
STAT_39d0f0d3901b,양천구,신월1동 청소년독서실,남부순환로59길 8,철거,,2024,12,2026-06-30,2021,0.35,163.0,2021,2021-12-31,12,False,False,ok,35.0,13.583333333333334
STAT_23de841d5965,양천구,양천나눔누리센터,중앙로 250,운영,2017,,19,2026-06-30,2021,,3951.0,2021,2021-12-31,12,False,False,ok,,329.25
STAT_2d04eb775967,양천구,목동실버복지문화센터,목동중앙로3길 21,운영,2016,,19,2026-06-30,2021,,3447.0,2021,2021-12-31,12,False,False,ok,,287.25
STAT_5e1b65d10f0f,양천구,신월3동주민센터,남부순환로54길 5,운영,2016,,19,2026-06-30,2021,,1770.0,2021,2021-12-31,12,False,False,ok,,147.5
STAT_7cde1368b8b0,양천구,신정4동주민센터,오목로34길 5,운영,2016,,19,2026-06-30,2021,,3991.0,2021,2021-12-31,12,False,False,ok,,332.5833333333333
STAT_ca4ba4317e97,양천구,목동문화체육센터,목동중앙본로 73,운영,2015,,19,2026-06-30,2021,,3775.0,2021,2021-12-31,12,False,False,ok,,314.5833333333333
STAT_f11098cfa848,양천구,신월문화체육센터,지양로 47,운영,2014,,19,2026-06-30,2021,,2024.0,2021,2021-12-31,12,False,False,ok,,168.66666666666666
